Rota,Etapa,Combustivel,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
R2,Alto-forno,Outras fontes primarias,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048,1.048
R2,Alto-forno,Oleo diesel,,,,,,,,,,,,,,,
R2,Alto-forno,Oleo combustivel,,,,,,,,,,,,,,,
R2,Alto-forno,Gasolina,,,,,,,,,,,,,,,
R2,Alto-forno,GLP,,,,,,,,,,,,,,,
R2,Alto-forno,Querosene,,,,,,,,,,,,,,,
R2,Alto-forno,Gases cidade,,,,,,,,,,,,,,,
R2,Alto-forno,Coque de carvao mineral,,,,,,,,,,,,,,,
R2,Alto-forno,Eletricidade,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796,0.796
R2,Alto-forno,Carvao vegetal,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004,6.004
R2,Alto-forno,Alcool etilico,,,,,,,,,,,,,,,
R2,Alto-forno,Outras fontes secundarias,,,,,,,,,,,,,,,
R2,Alto-forno,Alcatrao,,,,,,,,,,,,,,,
R2,Aciaria,Gas natural,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169,0.169
R2,Aciaria,Carvao metalurgico,,,,,,,,,,,,,,,
R2,Aciaria,Lenha,,,,,,,,,,,,,,,
R2,Aciaria,Produtos da cana,,,,,,,,,,,,,,,
R2,Aciaria,Outras fontes primarias,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819,0.819
R2,Aciaria,Oleo diesel,,,,,,,,,,,,,,,
R2,Aciaria,Oleo combustivel,,,,,,,,,,,,,,,
R2,Aciaria,Gasolina,,,,,,,,,,,,,,,
R2,Aciaria,GLP,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
R2,Aciaria,Querosene,,,,,,,,,,,,,,,
R2,Aciaria,Gases cidade,,,,,,,,,,,,,,,
R2,Aciaria,Coque de carvao mineral,,,,,,,,,,,,,,,
R2,Aciaria,Eletricidade,1.844,1.844,1.844,1.844,1.844,1.844,1.844,1.844,1.844,1.844,1.844,1.844,1.844,1.844,1.844
R2,Aciaria,Carvao vegetal,,,,,,,,,,,,,,,
R2,Aciaria,Alcool etilico,,,,,,,,,,,,,,,
R2,Aciaria,Outras fontes secundarias,,,,,,,,,,,,,,,
R2,Aciaria,Alcatrao,,,,,,,,,,,,,,,
R2,Laminacao,Gas natural,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.156,1.156
